ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
8,223,14739,7,372,481,9,62,4,1
8,213,18821,6,317,405,17,56,4,1
7,154,25137,8,275,330,16,70,3,1
7,146,35966,9,,474,21,54,4,1
9,237,17828,5,341,423,15,81,3,1
7,232,22453,8,,381,14,,5,1
6,183,22026,9,,377,11,63,3,1
7,166,30397,8,282,476,12,83,6,1
7,216,9465,5,341,501,11,53,4,1
6,159,22481,8,,459,15,,4,1
5,127,7907,7,335,475,13,79,5,1
,256,15097,8,362,471,15,40,3,1
6,180,26035,10,309,473,18,58,3,1
8,206,11579,4,356,408,11,83,5,1
7,191,25228,7,319,419,13,78,5,1
,109,14476,5,281,512,15,87,4,1
7,179,26393,9,,496,13,78,4,1
7,159,13403,7,296,360,16,64,4,1
7,195,33173,8,,534,17,38,4,1
,222,32270,9,304,357,13,51,5,1
7,222,17240,9,323,443,17,78,5,1
7,198,12151,8,341,304,14,71,4,0
,185,32329,8,293,617,8,51,5,0
8,222,20320,7,297,374,16,93,4,0
4,212,14686,8,327,371,22,36,3,0
,175,28991,5,417,469,10,53,4,0
9,166,32471,7,,498,13,57,5,0
9,169,21790,8,,437,18,73,5,0
6,241,14084,6,293,498,25,71,3,0
7,178,23441,9,326,478,14,55,3,0
7,201,24511,6,401,372,13,89,4,0
4,197,9848,11,,296,20,82,4,0
5,234,26811,4,370,571,13,45,4,0
7,188,24354,7,,346,11,62,4,0
9,184,22749,7,375,436,15,45,4,0
10,200,32916,6,,461,16,77,3,0
,185,19765,8,,293,13,,3,0
7,197,23566,8,316,500,12,32,4,0
7,261,15149,7,,398,12,66,3,0
7,223,25441,7,,647,17,39,4,0
7,179,17763,10,328,364,13,49,3,0
6,192,19330,9,,401,18,61,3,0
7,188,21273,8,,332,17,55,4,0
7,187,15423,9,342,562,14,,3,0
7,227,13730,9,257,275,13,,4,0
10,242,24650,5,347,348,18,73,4,0
14,236,24009,6,381,461,13,73,3,0
8,129,15273,11,,553,17,70,4,0
6,151,24207,8,,411,10,108,4,0
6,195,17722,6,410,623,18,93,4,0
8,236,26631,6,275,497,19,58,3,0
6,144,22235,9,368,437,12,52,4,0
6,196,19399,8,328,324,19,77,4,0
10,249,23259,3,284,469,5,68,3,0
10,206,33081,6,357,333,17,69,3,0
7,140,18976,8,423,528,19,69,4,0
,211,12229,7,387,422,15,77,3,0
10,190,18753,7,,461,9,64,3,0
7,181,22444,10,272,351,12,,4,0
,194,18753,9,327,478,13,53,2,0
8,209,27648,6,333,397,12,73,5,0
8,192,22526,8,,293,18,73,4,0
7,224,24312,7,276,307,10,77,4,0
8,220,30810,7,,405,13,70,5,0
,214,19027,8,,421,17,75,4,0
7,186,12218,8,351,394,17,87,4,0
6,231,20278,9,306,334,13,55,2,0
12,193,39234,9,236,463,20,81,4,0
10,194,28916,7,317,279,18,63,3,0
9,145,20256,11,,612,13,95,3,0
4,183,14841,10,,294,13,112,4,0
5,185,10923,7,353,339,22,91,4,0
6,138,14853,8,,389,17,100,5,0
9,156,24898,8,417,343,14,63,4,0
10,160,32130,6,405,541,12,46,6,0
,166,19919,7,352,420,18,46,3,0
4,208,21214,7,304,488,13,65,4,0
9,233,32105,7,,371,16,69,4,0
4,153,17858,7,324,342,8,75,3,0
7,148,14418,9,348,317,13,59,5,0
,181,8693,9,397,534,10,88,4,0
9,142,12658,11,347,387,13,70,4,0
6,199,25816,6,,484,12,79,4,0
4,199,15901,9,291,372,12,,2,0
7,183,14285,8,373,495,12,59,3,0
8,190,16462,5,394,294,18,82,4,0
7,211,28990,9,267,505,14,69,4,0
4,218,17640,8,332,424,15,70,5,0
9,215,15779,8,317,360,15,79,4,0
9,145,17621,8,341,287,15,42,5,0
11,144,31320,8,403,491,12,76,5,0
,219,31045,7,264,411,16,71,2,0
7,214,32947,5,333,319,13,16,5,0
8,213,24532,6,322,517,14,60,3,0
5,161,13517,8,343,535,14,71,4,0
5,197,21683,8,292,425,11,51,4,0
6,209,21457,10,263,459,19,31,5,0
10,214,25433,5,319,362,14,68,3,0
9,213,19031,5,317,473,16,66,5,0
6,229,35344,4,,526,15,47,3,0
,201,20743,7,265,450,10,70,4,0
7,229,15058,5,316,444,14,76,4,0
7,228,15395,7,335,295,14,51,4,0
,190,30524,6,388,382,19,74,5,0
7,174,19310,7,373,295,7,89,3,0
6,204,19346,8,265,708,16,69,4,0
,184,13361,9,335,467,20,80,4,0
8,244,32405,3,308,434,16,68,4,0
8,195,22330,6,417,372,11,,5,0
5,206,17914,11,,358,5,72,4,0
8,163,25035,8,330,432,16,89,5,0
7,229,16405,8,272,519,18,67,4,0
4,203,9440,10,313,544,15,65,4,0
,221,27159,8,275,472,16,36,5,0
8,221,26687,8,300,565,14,77,5,0
8,236,27931,6,325,512,13,81,4,0
7,184,31126,6,353,472,15,62,4,0
6,202,17494,6,385,479,22,,4,0
9,197,19572,7,377,518,19,36,4,0
10,178,30576,6,,537,12,46,4,0
10,237,26945,6,334,379,13,86,4,0
,179,18282,8,326,397,9,58,3,0
9,163,21463,10,,502,16,84,5,0
,146,25623,7,,464,8,69,4,0
6,158,16087,9,278,550,12,52,5,0
,210,18668,4,348,480,16,69,4,0
5,221,20988,8,233,374,12,46,4,0
5,186,18021,6,447,332,8,67,5,0
5,241,18328,7,238,355,13,75,5,0
8,218,23576,7,279,548,10,65,3,0
7,159,16305,7,,515,9,39,4,0
9,207,29551,6,339,330,9,64,4,0
4,182,25815,9,297,399,9,47,4,0
9,212,28554,7,343,342,9,61,2,0
10,215,33462,6,366,374,14,78,3,0
7,205,24607,8,281,366,11,60,4,0
3,186,11921,9,333,448,18,88,3,0
6,186,23125,7,,446,16,65,5,0
8,178,25624,8,392,354,20,74,4,0
7,162,26395,7,,575,12,52,3,0
8,259,17292,5,,435,13,51,4,0
,163,24643,7,331,415,12,74,3,0
7,217,13529,6,402,554,16,86,4,0
8,147,20828,9,,475,11,60,5,0
,204,26322,6,,487,20,70,3,0
10,223,28293,6,,398,11,45,4,0
7,195,21497,7,361,418,11,81,4,0
,261,11804,5,336,424,12,70,3,0
8,169,19169,8,406,351,15,68,4,0
8,170,37001,6,346,518,16,69,4,0
6,237,18736,6,,235,12,57,4,0
5,171,12290,11,301,502,12,54,5,0
7,197,15979,7,274,452,19,78,5,0
6,196,12432,7,381,368,21,90,5,0
8,184,30032,6,374,401,15,38,4,0
,188,29533,8,274,469,16,79,5,0
6,205,19821,6,298,483,12,89,5,0
,205,25143,6,296,528,13,70,5,0
7,206,16101,6,371,532,10,73,5,0
5,135,15979,10,366,419,13,58,4,0
3,147,21317,9,312,406,12,83,3,0
7,200,14541,9,276,487,17,70,5,0
9,192,32113,8,294,519,9,58,4,0
7,149,13329,7,,403,21,70,3,0
,195,18344,8,,320,12,75,5,0
8,205,20408,5,406,516,22,71,4,0
,168,18564,9,345,419,18,60,3,0
9,229,19126,7,328,384,15,41,5,0
9,169,33365,8,316,450,10,74,3,0
7,227,14470,8,274,361,19,40,5,0
,230,22445,6,321,389,16,34,4,0
,188,21875,7,409,616,9,60,4,0
5,187,16639,10,,356,12,,5,0
5,192,18252,8,284,374,18,92,4,0
6,199,27001,8,297,479,17,85,5,0
8,222,29808,9,206,557,11,60,5,0
7,158,11914,8,386,474,17,63,5,0
9,226,23659,2,408,447,14,43,4,0
,200,25356,7,305,394,16,78,3,0
8,157,21924,8,380,365,12,63,4,0
6,216,21166,8,348,315,14,46,4,0
10,129,26436,9,350,481,9,65,5,0
5,186,19118,7,359,577,8,73,4,0
11,278,28652,3,379,334,15,65,3,0
6,249,21046,5,,334,15,53,4,0
8,209,22309,6,408,503,16,60,4,0
8,192,16747,9,313,432,14,78,4,0
10,131,30221,9,370,412,18,76,4,0
6,180,26562,7,,432,15,75,2,0
6,190,11512,9,330,331,18,66,4,0
8,209,34539,6,302,471,16,35,5,0
7,243,23493,5,283,341,16,46,3,0
5,185,25670,8,318,450,18,49,4,0
7,206,23779,8,333,530,12,41,4,0
6,241,13540,6,335,364,13,61,4,0
6,187,22555,8,331,445,4,66,4,0
,153,28505,8,,346,15,48,4,0
8,208,12360,7,341,499,14,98,5,0
,160,23917,7,369,473,14,86,3,0
8,205,21530,8,,445,16,78,3,0
,164,19517,7,394,588,15,69,4,0
10,263,39117,3,286,473,13,65,6,0
7,237,33197,5,331,403,15,,5,0
7,235,20443,7,,305,13,91,4,0
,196,22746,8,325,397,21,52,4,0
7,202,17033,6,361,600,17,89,4,0
10,178,20643,6,,488,16,49,3,0
6,266,21251,5,357,358,27,60,5,0
8,182,15859,7,,585,11,82,5,0
,198,31252,6,,322,14,75,4,0
8,192,28087,7,330,327,11,52,2,0
6,228,24463,6,,400,18,71,5,0
,170,14550,8,395,486,14,51,4,0
7,170,23432,7,,513,20,79,4,0
6,205,23268,9,283,371,17,73,3,0
10,190,17573,7,,417,9,93,4,0
5,136,12060,9,,362,11,76,5,0
6,229,15613,4,383,409,11,64,4,0
9,255,28492,6,,621,18,65,4,0
9,199,21696,6,350,289,13,73,6,0
4,119,19100,12,,328,15,49,4,0
7,206,22686,6,304,442,14,78,5,0
7,160,17787,8,,248,17,87,6,0
7,183,20247,7,331,420,18,60,5,0
6,160,19782,10,310,505,17,42,4,0
8,232,16548,6,301,395,14,79,4,0
9,206,39557,6,291,345,15,,3,0
,220,22211,6,,399,12,112,3,0
7,215,32742,6,320,438,16,55,4,0
8,206,15926,6,,458,12,,4,0
8,210,19850,8,300,368,19,57,4,0
,181,18909,7,326,356,15,93,4,0
4,190,18530,7,396,365,15,87,5,0
,235,19039,7,323,437,18,66,4,0
11,179,33773,9,328,426,18,59,5,0
6,126,20116,8,427,435,12,54,4,0
,223,32237,6,337,527,10,77,4,0
5,192,24856,7,337,343,16,77,3,0
7,199,21627,6,389,296,9,,5,0
8,171,25919,9,307,449,16,60,4,0
7,178,12929,8,,376,18,40,4,0
6,197,10529,5,416,412,10,59,5,0
8,256,16796,4,,334,11,55,4,0
8,223,27464,6,353,318,11,64,3,0
7,210,17940,7,,349,14,68,4,0
,236,21984,6,331,441,13,67,4,0
8,167,29956,10,307,546,17,38,4,0
7,223,30045,7,,532,16,46,4,0
7,142,12875,9,341,340,17,86,2,0
6,200,20454,6,,345,17,68,5,0
8,202,26716,6,,516,15,84,4,0
11,193,14054,10,327,479,14,66,5,0
9,201,26744,7,340,364,14,87,5,0
11,256,31965,5,289,505,13,75,4,0
,230,22709,6,316,294,16,55,5,0
6,237,19894,8,287,315,12,74,4,0
,236,34823,5,362,538,19,88,4,0
6,182,26804,6,399,482,9,49,4,0
6,189,15156,7,307,298,12,81,3,0
,176,36820,8,322,345,17,,4,0
9,226,19969,6,387,441,12,,5,0
,283,21160,4,253,526,7,55,4,0
6,200,16405,6,366,444,16,72,4,0
6,170,16666,9,,457,16,79,3,0
6,185,29382,6,348,406,19,82,4,0
7,213,22113,8,275,388,14,76,4,0
,172,26595,8,,349,8,93,4,0
6,129,13690,9,,320,8,36,3,0
7,206,19636,7,344,431,12,57,4,0
6,139,16576,8,391,419,13,66,4,0
8,248,14610,6,322,275,12,95,5,0
3,147,17326,2,393,375,13,76,3,1
,182,19289,7,,275,14,57,3,1
,232,16378,0,238,455,8,56,4,1
8,199,35201,10,,349,19,73,4,1
7,204,25132,5,292,424,13,55,4,1
5,164,13679,6,,636,12,35,4,1
,167,30363,10,362,432,10,95,3,1
10,220,34132,10,234,367,13,63,4,1
,172,26654,7,336,510,14,85,4,1
8,198,23105,10,323,396,13,69,3,1
7,207,14598,6,316,582,13,69,3,1
6,198,19002,7,335,257,14,53,3,1
6,163,28141,9,377,296,10,50,3,1
,145,16219,6,380,375,11,72,5,1
5,180,18667,5,401,485,14,76,4,1
7,182,18195,8,371,202,11,68,3,1
7,210,30472,7,327,493,20,61,3,1
8,198,24345,8,279,457,16,64,4,1
5,138,11229,6,481,580,15,44,3,1
7,211,19225,6,307,324,21,72,5,1
7,188,20878,8,,378,16,72,4,1
6,189,27312,7,320,523,14,54,5,1
9,241,28171,7,263,568,8,48,4,1
5,167,18404,5,,347,16,63,4,1
4,136,17431,6,373,344,16,68,4,1
6,155,17628,7,390,324,17,67,4,1
7,218,19026,3,317,448,13,77,2,1
7,227,26559,6,301,332,16,29,4,1
6,218,17163,4,319,612,17,65,3,1
7,187,19503,8,305,356,16,74,3,1
,182,21453,7,,392,15,60,5,1
6,192,33316,7,,490,10,58,3,1
6,169,23891,7,376,374,16,48,5,1
,206,27045,4,298,516,9,48,4,1
6,192,12137,5,433,405,9,55,5,1
5,150,19197,8,374,400,11,69,5,1
10,221,32092,13,333,404,11,88,3,1
7,193,27469,6,281,300,12,46,4,1
8,237,23518,5,284,479,15,54,3,1
7,208,13715,8,353,337,21,69,6,1
7,223,19713,5,311,270,18,,4,1
5,180,12306,5,410,389,13,61,5,1
8,207,17643,8,,475,16,68,3,1
3,101,19873,5,418,421,14,86,3,1
8,153,15925,11,329,431,12,53,4,1
8,214,29818,7,298,495,13,70,4,1
8,243,17681,3,298,550,10,77,4,1
5,183,15265,6,394,447,18,50,3,1
,215,18490,4,295,370,7,68,5,1
5,151,18334,7,417,300,12,56,5,1
5,240,28391,1,258,452,14,72,5,1
6,188,27690,6,331,303,14,58,3,1
7,250,24540,2,358,339,15,60,3,1
7,215,16488,7,305,507,12,18,5,1
,139,17905,8,400,485,18,36,5,1
7,182,29136,8,,307,9,50,5,1
5,181,21543,7,352,420,13,69,3,1
6,188,25869,4,338,456,15,73,5,1
6,206,22806,4,,409,17,62,4,1
8,235,14764,8,339,506,12,50,5,1
7,203,13703,8,352,412,16,80,3,1
7,214,24883,5,,401,14,59,5,1
8,211,31725,8,313,433,16,,4,1
6,141,11795,9,438,413,15,48,5,1
,208,13696,4,,449,21,76,4,1
6,199,28460,5,331,449,12,70,3,1
9,201,32571,10,,338,13,66,3,1
7,190,13317,8,379,541,12,42,4,1
7,205,19530,7,,475,16,54,4,1
6,139,21504,11,339,448,14,32,3,1
10,224,31684,12,315,494,19,81,3,1
7,189,27368,8,355,465,12,75,5,1
8,244,31115,5,285,419,15,56,5,1
9,219,21752,6,276,356,16,67,3,1
5,177,24069,4,368,288,13,78,5,1
9,211,15978,8,329,324,12,60,6,1
8,211,15896,7,320,449,18,124,3,1
7,183,19259,8,296,340,10,83,6,1
6,181,13029,6,374,406,16,35,4,1
7,179,21066,7,378,572,13,85,3,1
8,169,22912,10,,468,13,81,4,1
5,170,23001,4,341,347,13,85,4,1
10,214,23972,10,294,507,16,83,3,1
5,107,19116,9,333,458,17,78,4,1
7,138,14893,10,319,287,14,55,5,1
8,193,25411,6,284,432,13,81,5,1
,210,23617,4,366,422,15,76,2,1
5,142,13615,8,369,439,10,83,4,1
6,146,21157,8,385,441,17,70,4,1
7,162,22171,10,,401,15,83,4,1
7,192,29323,9,,496,17,43,4,1
,153,19732,11,374,464,16,61,5,1
,189,20785,10,313,420,15,63,5,1
9,222,13677,7,349,461,18,72,5,1
,177,17766,8,354,520,15,63,3,1
8,156,18253,11,329,380,14,35,4,1
8,212,21400,7,269,496,11,85,5,1
8,190,29412,8,350,524,19,80,4,1
5,137,19105,7,420,358,13,76,3,1
8,206,20563,10,,479,22,80,4,1
4,111,14905,8,419,382,16,,4,1
4,202,20556,2,342,436,12,69,3,1
,202,15618,7,367,360,11,25,5,1
5,174,15222,6,412,334,15,69,4,1
10,217,25176,10,329,394,20,86,3,1
5,179,22648,6,326,405,19,90,4,1
8,201,16827,10,,566,14,47,5,1
6,186,27978,7,330,429,21,71,3,1
6,174,14305,5,369,472,16,58,5,1
6,143,18377,7,418,360,19,77,5,1
7,192,26352,8,,505,19,73,4,1
8,210,16897,7,345,316,20,,3,1
7,242,13312,5,,529,17,63,5,1
8,220,17170,8,344,385,17,47,5,1
9,195,16679,10,302,405,5,55,5,1
7,247,22632,3,297,357,16,80,4,1
8,230,18877,4,278,447,18,53,4,1
7,161,25592,10,368,331,15,51,4,1
,117,27151,10,,372,14,63,4,1
6,147,13615,9,395,533,14,92,4,1
,202,35419,8,254,447,16,45,3,1
5,211,29228,4,342,364,18,36,4,1
7,213,18464,7,356,524,12,45,5,1
7,209,16739,8,,519,9,78,5,1
8,156,18432,12,370,288,12,80,4,1
8,186,30587,8,,314,17,60,5,1
8,222,23884,6,355,515,11,57,4,1
8,214,15457,8,318,376,9,55,4,1
9,263,24418,5,241,494,13,47,6,1
6,203,26448,6,322,567,13,56,3,1
,180,17030,7,372,405,12,47,4,1
8,205,17415,7,277,347,13,84,5,1
8,202,23260,9,333,292,12,64,3,1
,240,23104,9,339,487,15,89,4,1
8,241,25695,4,302,443,17,97,5,1
8,221,20111,7,355,367,20,54,5,1
6,165,23022,8,357,402,18,80,4,1
,228,15617,6,327,403,15,80,3,1
4,138,11843,6,364,426,20,48,3,1
8,169,28724,9,354,517,12,80,4,1
7,184,11579,6,364,557,9,34,5,1
6,214,30169,5,,339,15,44,5,1
7,203,22375,6,400,548,12,71,4,1
9,266,34447,5,,343,14,65,4,1
,166,14202,9,371,493,12,60,3,1
7,210,31073,6,312,461,17,42,4,1
9,185,21737,12,305,318,17,51,5,1
8,152,19148,12,391,375,10,70,4,1
6,225,26807,3,319,383,11,64,3,1
4,190,20864,2,,516,18,63,4,1
8,188,21094,11,390,463,11,81,4,1
7,189,31316,8,,399,16,70,3,1
7,209,29124,7,328,308,12,66,4,1
,182,17541,8,,306,12,62,4,1
4,124,18038,9,,549,16,92,5,1
,176,12675,9,355,344,13,84,4,1
5,162,14127,6,358,338,21,66,3,1
7,197,26012,7,347,473,18,69,4,1
6,149,32416,9,319,408,12,42,4,1
6,217,29645,4,329,311,14,63,4,1
9,249,19794,10,323,411,18,69,3,0
6,147,19679,5,320,414,16,84,4,0
6,179,13095,8,,437,14,60,5,0
8,172,27062,5,378,325,14,97,5,0
7,191,16191,5,,564,18,43,3,0
5,183,23590,9,326,446,15,69,5,0
6,180,29033,7,326,375,18,76,3,0
,253,12038,4,325,422,13,40,3,0
6,200,9545,9,343,378,22,80,2,0
8,203,13227,6,362,410,18,79,4,0
9,210,16880,2,,294,8,70,4,0
8,204,20855,8,334,532,14,75,3,0
8,207,31080,6,333,369,18,55,4,0
3,127,16829,11,,456,10,79,5,0
5,168,17695,10,334,353,17,67,5,0
5,142,44500,8,336,535,15,63,4,0
5,180,22558,10,296,450,14,82,3,0
,206,18221,6,352,547,12,62,3,0
11,256,43536,4,,433,12,56,5,0
6,170,14711,7,359,536,12,67,5,0
9,269,13064,8,358,550,12,64,5,0
4,145,15105,8,334,343,14,86,4,0
8,235,5477,6,,444,12,34,5,0
9,220,33365,6,324,444,18,80,3,0
7,173,34816,8,294,389,16,68,5,0
,180,22060,8,,386,10,70,5,0
4,120,30014,6,,434,9,100,5,0
9,252,13137,6,320,350,13,59,4,0
7,220,23581,7,285,326,13,89,4,0
8,208,24871,5,,441,19,51,3,0
9,234,19550,7,,285,13,25,2,0
7,207,39424,8,325,570,14,,3,0
10,244,16523,4,311,488,17,84,4,0
,167,11532,8,361,625,14,75,4,0
6,164,9944,8,351,375,17,66,4,0
,183,12676,10,320,482,13,47,3,0
6,149,23604,7,303,393,18,54,4,0
8,187,49341,4,301,437,14,,5,0
,193,18519,8,,374,14,44,3,0
7,200,23951,8,320,420,12,64,5,0
,203,22257,7,305,434,14,64,4,0
8,213,24415,5,,446,12,49,4,0
7,187,22724,6,331,385,12,73,5,0
7,189,30043,7,310,465,11,47,4,0
5,147,20228,6,369,347,15,57,4,0
7,223,17862,8,299,429,12,69,3,0
7,226,8238,8,290,285,12,52,4,0
7,171,17475,5,363,642,17,41,5,0
10,278,12978,7,319,487,14,85,4,0
,210,26894,4,329,345,15,,5,0
8,234,8201,8,,461,13,69,4,0
10,218,15121,3,,499,15,42,3,0
11,284,15177,5,334,421,13,72,4,0
10,264,13345,7,296,462,12,76,3,0
7,177,18533,6,336,491,14,97,4,0
4,147,24252,7,283,482,11,70,6,0
,198,12962,6,363,504,19,80,4,0
,233,32600,7,344,447,14,53,3,0
,193,36521,7,,474,17,82,4,0
6,193,32875,11,338,415,13,70,3,0
9,257,12726,10,356,506,11,69,3,0
8,245,18001,9,351,344,14,,5,0
9,230,24561,7,373,395,14,41,4,0
,209,11610,6,,407,7,76,4,0
6,143,22578,6,339,574,15,49,3,0
6,166,22396,7,309,530,11,,5,0
,202,29508,4,325,429,9,76,4,0
,140,31421,7,346,379,18,55,5,0
7,175,34934,5,332,411,12,60,4,0
7,188,12321,5,343,475,18,38,4,0
6,188,10499,8,323,467,21,68,4,0
9,216,14154,5,333,312,11,69,3,0
9,223,19259,6,396,467,10,74,3,0
7,180,23793,5,333,462,14,61,4,0
,207,30573,4,342,394,16,81,3,0
9,184,33037,3,359,631,17,68,3,0
10,252,17156,6,347,410,19,83,3,0
5,150,43195,7,323,287,11,72,4,0
5,175,33473,8,319,484,17,94,5,0
7,198,23113,10,332,449,14,70,4,0
6,185,14343,10,334,409,15,64,4,0
6,158,25363,8,378,568,14,76,5,0
6,176,26369,10,348,454,13,61,5,0
7,192,41570,5,321,343,14,54,3,0
7,212,7450,9,,396,11,75,5,0
,200,25973,6,336,345,13,47,3,0
3,142,23257,8,293,392,9,68,3,0
6,163,31883,8,351,551,16,72,5,0
8,246,7930,9,373,349,14,85,4,0
7,207,24549,5,,365,12,79,5,0
8,199,20426,8,380,333,15,62,4,0
7,219,8136,6,311,519,15,51,5,0
10,245,18976,5,331,384,15,,4,0
8,199,40368,7,,294,14,69,4,0
,251,24538,7,345,426,14,60,6,0
6,151,26373,6,,468,9,102,5,0
8,224,23962,5,337,477,17,65,4,0
9,228,27352,8,350,388,13,80,5,0
6,178,21920,7,336,288,17,47,4,0
6,186,18910,8,329,427,13,52,4,0
6,177,26756,7,317,505,21,60,3,0
6,201,9323,9,325,450,12,74,5,0
7,229,9633,11,326,439,21,40,4,0
8,188,31921,6,334,436,15,43,5,0
6,192,14705,8,306,430,15,45,5,0
6,219,12813,11,,421,8,79,4,0
9,210,22377,3,322,414,13,43,5,0
7,183,31296,4,,412,14,77,4,0
9,214,38768,7,310,383,16,57,3,0
5,121,22982,8,372,261,13,67,3,0
,143,19291,6,371,486,14,64,4,0
6,192,17280,9,,413,13,85,5,0
10,240,20270,7,374,568,16,56,5,0
8,200,15513,6,,421,8,54,4,0
,209,7845,8,434,422,16,,4,0
7,206,10343,8,324,521,16,68,3,0
7,189,24267,7,326,500,13,66,4,0
8,212,24145,8,364,464,15,70,4,0
8,240,10823,8,317,426,8,49,3,0
7,184,13377,7,334,509,17,82,5,0
6,191,12768,9,324,500,12,54,5,0
6,207,9845,10,321,467,19,58,4,0
5,150,19694,7,336,286,14,46,5,0
,233,10634,8,334,542,14,85,5,0
8,224,22523,7,287,330,18,78,4,0
7,192,36991,5,,591,19,25,4,0
11,238,21872,3,,374,16,64,6,0
6,187,12194,8,352,577,14,,3,0
7,152,22624,8,388,394,10,55,4,0
6,190,12308,9,312,400,19,67,4,0
,183,20311,7,381,345,11,72,4,0
,187,28989,6,333,479,15,70,4,0
,224,8722,9,,375,15,65,3,0
8,227,12611,10,345,343,13,83,5,0
9,198,20129,5,330,356,12,46,3,0
8,212,12723,7,381,360,14,70,5,0
,173,24446,7,,572,12,56,5,0
6,182,18461,9,,354,14,74,4,0
10,257,28704,8,326,552,9,,4,0
8,223,14945,6,,482,7,83,4,0
,191,17541,9,,324,19,62,4,0
10,244,17940,7,,338,24,73,4,0
,159,61227,4,313,377,17,82,4,0
6,183,17851,7,332,399,17,64,5,0
,253,28865,9,365,480,16,71,5,0
8,229,28967,6,,362,15,61,4,0
4,116,17102,9,323,361,8,71,4,0
8,233,23673,8,,233,18,61,5,0
,244,20977,7,350,488,10,84,4,0
6,170,17122,10,375,379,11,63,6,0
6,178,41243,7,,487,13,65,4,0
6,191,17638,11,,462,13,45,5,0
4,131,19640,8,305,457,17,82,4,0
8,254,16643,11,,556,15,82,4,0
7,214,11695,9,376,357,15,80,4,0
8,194,20019,8,374,375,11,29,4,0
,206,24820,7,329,386,9,70,4,0
8,192,17046,9,347,266,16,83,4,0
,120,22331,8,351,472,17,63,5,0
5,155,19004,6,306,518,16,97,4,0
6,165,30021,8,334,494,17,70,5,0
6,163,19231,7,339,468,20,62,3,0
9,185,41801,3,337,461,14,42,5,0
10,244,24756,5,300,388,15,71,4,0
,227,32102,4,322,433,12,57,4,0
8,222,25476,10,,373,12,52,5,0
7,225,16242,8,350,332,13,60,3,0
,218,37820,8,,368,15,36,3,0
5,150,27548,8,296,522,16,44,3,0
6,182,13464,8,,402,13,53,4,0
10,277,18743,9,361,458,22,94,5,0
3,121,13691,7,328,261,18,55,3,0
10,287,7106,10,322,438,13,79,5,0
6,186,5157,8,338,570,15,,5,0
7,230,28631,9,302,437,12,79,4,0
9,256,26912,6,275,468,12,90,4,0
5,170,7029,9,318,290,8,64,4,0
9,218,14799,6,366,417,9,73,5,0
8,228,27405,6,,495,9,56,4,0
8,230,13198,6,334,605,15,103,4,0
9,230,18254,6,,295,13,92,5,0
,228,18593,6,,475,14,54,4,0
5,154,9560,8,350,497,11,61,4,0
6,212,4440,10,,317,18,54,3,0
6,147,19272,6,316,470,12,62,4,0
8,165,17645,7,,634,22,33,5,0
12,298,17083,6,,400,14,64,4,0
9,270,12138,11,360,438,16,68,6,0
4,113,40529,6,,392,16,69,4,0
6,149,28628,5,,466,12,66,4,0
8,238,18419,8,308,396,13,83,5,0
9,192,21769,5,387,436,12,56,4,0
8,223,26031,7,,368,14,70,3,0
5,192,17739,9,310,413,12,89,5,0
6,184,10112,7,309,442,11,78,4,0
3,141,16018,8,,581,11,95,4,0
6,149,14468,6,,427,14,56,2,0
7,236,8214,9,,501,12,92,5,0
7,206,18321,7,298,494,14,71,5,0
5,137,28392,8,,386,14,74,4,0
8,239,11636,4,276,406,15,,3,0
8,225,16404,7,313,413,15,33,2,0
5,167,24930,8,334,400,18,70,3,0
5,156,14401,9,,484,8,55,4,0
7,189,32359,6,341,491,13,62,3,0
7,197,27023,6,,498,19,60,4,0
6,170,16079,5,332,312,16,54,4,0
9,248,17417,7,343,506,20,59,2,0
,131,17430,6,322,525,15,75,6,0
9,278,14180,8,318,335,17,48,4,0
11,275,21558,6,350,331,13,,5,0
7,196,11877,10,365,364,15,41,5,0
6,184,20412,10,336,368,11,67,4,0
6,179,24196,7,321,526,13,60,2,0
6,189,30454,6,298,477,15,47,4,0
9,198,20098,6,344,556,9,79,4,0
7,196,17465,6,355,301,13,81,3,0
,252,20197,3,351,455,12,69,5,0
8,191,16410,6,,403,14,95,4,0
7,250,4425,8,293,268,18,68,4,0
6,163,48176,7,300,345,5,56,5,0
2,130,11684,10,301,504,9,76,4,0
8,215,17017,7,336,484,15,66,4,0
7,225,24742,9,,402,16,87,4,0
5,136,23031,6,359,567,12,61,4,0
8,248,27824,7,343,433,19,53,6,0
8,213,16770,5,292,478,14,82,4,0
9,202,25522,4,327,462,17,104,4,0
6,207,11339,9,317,532,12,48,4,0
7,191,14702,7,314,525,13,108,3,0
8,237,18882,4,,385,15,56,3,0
,232,21461,9,361,375,12,67,4,0
5,153,13491,7,339,524,14,69,5,0
,181,30050,8,360,378,18,,4,0
4,174,22581,13,289,600,8,50,5,0
,169,23134,8,337,330,15,58,4,0
8,208,24975,7,,453,13,60,4,0
6,188,16113,8,,363,12,75,4,0
5,160,32887,8,,337,23,76,4,0
3,145,7409,12,337,434,10,,4,0
7,186,31529,6,335,381,19,76,4,0
8,200,22411,5,343,593,12,75,3,0
4,156,13351,9,322,388,8,78,3,0
,214,10040,10,384,487,19,51,3,0
9,246,21180,8,343,753,17,60,3,0
5,160,9265,9,359,465,11,68,4,0
8,183,25337,4,362,315,12,65,3,0
